drop,dates,category,average_worth
Accursed Ashes,19th August:128|20th August:1,testing,nan
Bittercap Mushroom Spore,19th August:1,nan,nan
Blue Charm,19th August:1,nan,nan
Bones,19th August:4|20th August:7,nan,nan
Chaos Rune,19th August:57,nan,nan
Crimson Charm,19th August:1,nan,nan
Fungal Flake,19th August:473,nan,nan
Gold Charm,19th August:5,nan,nan
Gorajian Mushroom,19th August:12,nan,nan
Green Charm,19th August:14,nan,nan
Grimy Cadantine,19th August:1,nan,nan
Grimy Guam,19th August:2,nan,nan
Grimy Harralander,19th August:2,nan,nan
Grimy Irit,19th August:1,nan,nan
Grimy Kwuarm,19th August:1,nan,nan
Grimy Ranarr,19th August:3,nan,nan
Grimy Tarromin,19th August:5,nan,nan
Harralander Seed,19th August:1,nan,nan
Infernal Ashes,19th August:1,nan,nan
Jangerberry Seed,19th August:1,nan,nan
Limpwurt Root,19th August:15,nan,nan
Limpwurt Seed,19th August:3,nan,nan
Marrentill Seed,19th August:1,nan,nan
Neem Drupe,19th August:286,nan,nan
Polypore Spore,19th August:550,nan,nan
Potato Cactus,19th August:109,nan,nan
Pure Essence,19th August:285,nan,nan
Raw Wolf Meat,19th August:6|20th August:3,nan,nan
Snape Grass,19th August:80,nan,nan
Spirit Emerald,19th August:1,nan,nan
Spirit Weed Seed,19th August:2,nan,nan
Strawberry Seed,19th August:2,nan,nan
Swamp Toad,19th August:3,nan,nan
Tarromin Seed,19th August:3,nan,nan
Wolf Bones,19th August:6|20th August:3,nan,nan
Fire Rune,20th August:33,nan,nan
Raw Oomlie,20th August:1,nan,nan
